Time_ms,Steps_H,Commanded_H_mm,Real_H_mm,Steps_V,Commanded_V_mm,Real_V_mm,LVDT_Output_mm
530,51,0.083130,-0.701852,51,0.091799,-1.393045,1.658416
589,101,0.164629,-0.628450,101,0.181799,-1.245469,1.657950
652,151,0.246129,-0.555047,151,0.271798,-1.097893,1.654997
714,201,0.327628,-0.481645,201,0.361797,-0.950318,1.652873
777,251,0.409128,-0.408242,251,0.451796,-0.802742,1.659944
839,301,0.490628,-0.334839,301,0.541796,-0.655166,1.811174
902,351,0.572127,-0.261437,351,0.631795,-0.507591,1.961161
964,401,0.653627,-0.188034,401,0.721794,-0.360015,2.119851
1027,451,0.735126,-0.114631,451,0.811793,-0.212439,2.255903
1090,501,0.816626,-0.041229,501,0.901793,-0.064864,2.387009
1145,529,0.862266,-0.000123,551,0.991792,0.082712,2.513012
1199,529,0.862266,-0.000123,601,1.081791,0.230288,2.657716
1261,529,0.862266,-0.000123,651,1.171791,0.377863,2.805113
